"","classe","x","n","nMx","nkx","nqx","lx","ndx","nLx","Tx","ex"
"1","0-1",0,1,0.0191067299501034,0.155940052327374,0.0188034819567426,1e+05,1880.34819567426,100293.221596027,7534771.46793958,75.3477146793958
"2","1-4",1,4,0.000956152211705621,0.871473354231975,0.00381320223320036,98119.6518043257,374.150075381097,392804.669038481,7434478.24634356,75.7695131365703
"3","5-9",5,5,0.000438373863688801,1.75379939209726,0.00218875461228126,97745.5017289446,213.940917738973,489102.718096199,7041673.57730508,72.0408965399978
"4","10-14",10,5,0.000259168070493715,2.18689320388349,0.00129489628572201,97531.5608112057,126.2932558351,487933.99391891,6552570.85920888,67.1841074284955
"5","15-19",15,5,0.00164187272998657,2.38191632928475,0.00817422624645668,97405.2675553706,796.212694594246,488922.849795691,6064636.86528997,62.2618983294973
"6","20-24",20,5,0.00250314824972767,1.99516648764769,0.0124223063281504,96609.0548607763,1200.10727355365,485439.688117658,5575714.01549428,57.714196909694
"7","25-29",25,5,0.00265890778871979,1.98307952622673,0.0131887426308247,95408.9475872227,1258.32405440572,479540.094605764,5090274.32737662,53.3521693311112
"8","30-34",30,5,0.00286998115668938,1.96845238095238,0.014226131545836,94150.6235328169,1339.39915550034,473389.661120775,4610734.23277085,48.9718926945157
"9","35-39",35,5,0.00319521854674429,2.0530303030303,0.0158270617611622,92811.2243773166,1468.92898034888,467071.877596239,4137344.57165008,44.5780626148195
"10","40-44",40,5,0.0031316380409055,2.01851851851852,0.0155133433459649,91342.2953969677,1417.02439050171,459571.766958259,3670272.69405384,40.1815246497044
"11","45-49",45,5,0.00548478945002248,2.03071317022384,0.0269844803486972,89925.271006466,2426.58670832526,454554.056619616,3210700.92709558,35.7041006511364
"12","50-54",50,5,0.00829472836137916,2.03647859922179,0.0404786125419324,87498.6842981408,3541.8253396333,444706.272997049,2756146.87047597,31.499295018937
"13","55-59",55,5,0.0104430604560847,2.07167235494881,0.0506659033562784,83956.8589585075,4253.75010208843,428596.671283895,2311440.59747892,27.5312895950676
"14","60-64",60,5,0.0175735249713147,2.03969754253308,0.0835225362021056,79703.108856419,6657.00579488063,412093.822642542,1882843.92619502,23.6232181305107
"15","65-69",65,5,0.0237846104314231,2.08645432271614,0.111216052331293,73046.1030615384,8123.89922068911,382180.659954009,1470750.10355248,20.1345457445339
"16","70-74",70,5,0.0356072827840516,2.02903923385851,0.161004134299094,64922.2038408493,10452.7432261853,345820.045311625,1088569.44359847,16.7672903752158
"17","75-79",75,5,0.0621845710165826,1.97098414597667,0.261640719052991,54469.460614664,14251.4288416493,300436.643377725,742749.398286847,13.6360703760464
"18","80-84",80,5,0.0835008504716252,1.96972754793138,0.333195648494966,40218.0317730147,13400.4731778008,227485.440038703,442312.754909121,10.997871735879
"19","85-89",85,5,0.125435540069686,1.85518157661647,0.44975998194055,26817.5585952139,12061.4646694731,156464.000017887,214827.314870418,8.01069620516305
"20","90+",90,NA,0.227547696603071,3.95520082389289,1,14756.0939257409,14756.0939257409,58363.3148525312,58363.3148525312,3.95520082389289
