Faixa Etária 1;Masculino;Feminino;Total
0 a 4 anos;36851;35289;72140
5 a 9 anos;38768;37395;76163
10 a 14 anos;41144;39742;80886
15 a 19 anos;43216;41696;84912
20 a 24 anos;44384;43006;87390
25 a 29 anos;44376;43261;87637
30 a 34 anos;41209;40109;81318
35 a 39 anos;36906;36610;73516
40 a 44 anos;33378;32899;66277
45 a 49 anos;31910;32123;64033
50 a 54 anos;26353;26940;53293
55 a 59 anos;20817;21311;42128
60 a 64 anos;16465;16842;33307
65 a 69 anos;12055;12878;24933
70 a 74 anos;8810;9756;18566
75 a 79 anos;5711;6773;12484
80 anos e mais;5450;8031;13481
Total;487803;484661;972464
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
